epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
106,1176.31,1.09204,0.75172,0.00822,0.80783,0.89426,0.90368,0.62642,1.04131,0.65031,0.00985,0.000305872,0.000305872,0.000305872
107,1187.18,1.07666,0.74194,0.00821,0.82074,0.87946,0.90472,0.627,1.03756,0.64708,0.00978,0.000293979,0.000293979,0.000293979
108,1198.18,1.08041,0.73649,0.00844,0.81615,0.90887,0.91278,0.63294,1.03917,0.64447,0.00983,0.000282273,0.000282273,0.000282273
109,1208.98,1.07194,0.73067,0.00832,0.84943,0.89883,0.92195,0.64153,1.03828,0.61172,0.00987,0.00027076,0.00027076,0.00027076
110,1219.82,1.06833,0.72505,0.00823,0.80902,0.9399,0.91799,0.63417,1.02642,0.64866,0.00965,0.000259445,0.000259445,0.000259445
111,1230.78,1.07752,0.73478,0.00823,0.85298,0.90211,0.92206,0.63665,1.07046,0.60755,0.01026,0.000248332,0.000248332,0.000248332
112,1241.75,1.05934,0.72561,0.00838,0.82282,0.91146,0.92009,0.62569,1.03814,0.59637,0.00978,0.000237427,0.000237427,0.000237427
113,1252.65,1.0848,0.74563,0.00817,0.81616,0.91506,0.91835,0.63169,1.04244,0.61917,0.00986,0.000226735,0.000226735,0.000226735
114,1263.48,1.06946,0.72258,0.00803,0.82773,0.90958,0.91822,0.63167,1.05247,0.63747,0.00997,0.000216259,0.000216259,0.000216259
115,1274.37,1.06309,0.72278,0.00833,0.84538,0.89337,0.9193,0.63996,1.02861,0.6131,0.00969,0.000206005,0.000206005,0.000206005
116,1285.28,1.06941,0.72314,0.00811,0.84071,0.90604,0.92298,0.6394,1.03722,0.63594,0.00981,0.000195978,0.000195978,0.000195978
117,1296.22,1.06775,0.73261,0.00829,0.83871,0.90723,0.92207,0.64188,1.0275,0.61587,0.00965,0.000186181,0.000186181,0.000186181
118,1307.11,1.06259,0.72932,0.00818,0.81178,0.91964,0.92167,0.6403,1.02473,0.62775,0.00965,0.000176619,0.000176619,0.000176619
119,1317.98,1.06455,0.72765,0.00795,0.83309,0.91829,0.92254,0.64126,1.05848,0.62851,0.01007,0.000167296,0.000167296,0.000167296
120,1328.81,1.06718,0.73662,0.00859,0.83306,0.90937,0.92208,0.64433,1.02133,0.6167,0.00962,0.000158216,0.000158216,0.000158216
121,1339.72,1.07046,0.71892,0.00813,0.835,0.89432,0.91688,0.63024,1.0413,0.61626,0.00985,0.000149383,0.000149383,0.000149383
122,1350.54,1.07233,0.72095,0.00817,0.8266,0.91179,0.92113,0.63585,1.05166,0.63514,0.01002,0.000140801,0.000140801,0.000140801
123,1361.48,1.07698,0.73141,0.00829,0.85914,0.88607,0.92181,0.6418,1.03107,0.63173,0.00978,0.000132474,0.000132474,0.000132474
124,1372.37,1.07092,0.73838,0.00832,0.84889,0.88225,0.92067,0.6429,1.02423,0.59977,0.00964,0.000124405,0.000124405,0.000124405
125,1383.27,1.05931,0.7218,0.00801,0.82895,0.8956,0.91936,0.63518,1.03989,0.61208,0.0098,0.000116599,0.000116599,0.000116599
126,1394.1,1.04743,0.7185,0.00815,0.82346,0.90893,0.92058,0.64005,1.03044,0.61665,0.00971,0.000109058,0.000109058,0.000109058
127,1405.03,1.04774,0.71553,0.00823,0.81058,0.93543,0.91959,0.63893,1.0274,0.62702,0.00967,0.000101785,0.000101785,0.000101785
